name,pieces,price
Hungarian Horntail Triwizard Challenge,265,"$29.99, 34.99€ | "
Hagrid's Hut: Buckbeak's Rescue,496,"$59.99, 59.99€ | "
Hogwarts Clock Tower,922,"$89.99, 89.99€ | "
The Knight Bus,403,"$39.99, 39.99€ | "
Beauxbatons' Carriage: Arrival at Hogwarts ,430,"$49.99, 49.99€ | "
Harry Potter Advent Calendar,305,"$39.99, 24.99€ | "
The Rise of Voldemort,184,"$19.99, 19.99€ | "
Tracer vs. Widowmaker,129,"$14.99, 14.99€ | "
Hanzo vs. Genji,197,"$19.99, 24.99€ | "
Dorado Showdown,419,"$29.99, 29.99€ | "
D.Va & Reinhardt,455,"$39.99, 39.99€ | "
Bastion,602,"$49.99, 59.99€ | "
Watchpoint: Gibraltar,730,"$89.99, 89.99€ | "
Wrecking Ball,5,227
Junkrat & Roadhog,6,380
Spider-Man Bike Rescue,235,"$19.99, 24.99€ | "
Spider-Man's Spider Crawler ,418,"$39.99, 39.99€ | "
Spider Mech vs. Venom ,604,"$49.99, 49.99€ | "
Batman Batsub and the Underwater Clash,174,"$19.99, 24.99€ | "
Batman Mech vs. Poison Ivy Mech ,375,"$39.99, 39.99€ | "
Mr. Freeze Batcycle Battle,200,"$19.99, 24.99€ | "
Batmobile: Pursuit of The Joker,342,"$29.99, 29.99€ | "
Batwing and The Riddler Heist,489,"$49.99, 49.99€ | "
Batcave Clayface Invasion,1038,"$99.99, 99.99€ | "
Captain America: Outriders Attack,167,"$19.99, 24.99€ | "
War Machine Buster,362,"$34.99, 34.99€ | "
Iron Man Hall of Armour,524,"$59.99, 59.99€ "
Avengers Ultimate Quinjet,838,"$79.99, 79.99€ | "
Captain Marvel and The Skrull Attack,307,"$29.99, 29.99€ | "
Molten Man Battle,294,"$29.99, 29.99€ | "
Hydro-Man Attack,471,"$39.99, 39.99€ | "
Stark Jet and the Drone Attack,504,"$69.99, 59.99€ | "
Avengers Compound Battle,699,"$99.99, 99.99€ | "
Spider-Man Car Chase,52,"$9.99, 9.99€ | "
Spider-Man: Doc Ock Diamond Heist,150,"$29.99, 29.99€ | "
Batman vs. The Riddler Robbery,59,"$9.99, 9.99€ | "
Batman and The Joker Escape,171,"$39.99, 39.99€ | "
{Batvehicle D2C set},,
Sith Trooper Bust,484,
Captain Marvel and the Asis,271,
The Dark Knight of Gotham City,427,
Chinese New Year's Eve Dinner,615,
Dragon Dance,622,
Dragon Boat Race,643,"$49.99, 49.99€ | "
Koi,1,
Shark Skin,,
Splash Koi Skin,,
Ink Koi Skin,,
Boost Hub,1,"$79.99, 79.99€ | "
Distance Sensor,1,"$13.99, 13.99€ | "
Motor,1,"$16.99, 16.99€ | "
Hub,1,"$49.99, 49.99€ | "
Remote Control,1,"$22.99, 22.99€ | "
Train motor,7,"$13.99, 13.99€ | "
Garmadon,,
Wu,,
Kai vs. Wyplash,,
Kai vs. Wyplash,,
Baby Raptor,,
Batman with Bat-a-Rang,,
Robin,,
Superman,,
The Flash,1,
Joker,,
Show Jump,,
Emmet with Tools,,
Rex with Jetpack,,
Emma's Kitty Chico,,
Shop with Costumes,,
Sweet Baby,,
Bear's Cave,,
Andrea's Booth with Waffles,,
Robot on paddleboard,,
Ice Cream Parlour,,
Andrea's Stage,,
Stephanie's Puppy Dash,,
TLM2 Accessory Set 2019,48,"$12.99, 12.99€ | "
Oni Battle Pack,3,36
Emmet Keyring,,"$4.99, 4.99€ | "
Lucy Keyring,,"$4.99, 4.99€ | "
Emmet's Construction Worker Vest,,"$14.99, 14.99€ | "
Batarang,,"$7.99, 7.99€ | "
